V1,V2,V3,V4,V5,V6,V7,V8,V9,N,Clicks,
6,3,1,2,5,1,1,2,2,10000,54,0.54+ACU-
4,1,1,2,5,3,1,2,2,10000,291,2.91+ACU-
5,3,1,1,1,3,1,3,2,10000,50,0.50+ACU-
4,6,1,2,1,3,2,3,2,10000,407,4.07+ACU-
5,6,1,1,1,1,2,4,2,10000,860,8.60+ACU-
4,3,1,3,1,3,2,4,2,10000,594,5.94+ACU-
6,1,1,1,1,1,1,5,2,10000,273,2.73+ACU-
5,1,1,3,5,1,2,5,2,10000,777,7.77+ACU-
4,6,1,3,1,3,1,2,4,10000,153,1.53+ACU-
6,6,1,2,1,1,2,2,4,10000,335,3.35+ACU-
5,3,1,3,5,1,2,2,4,10000,127,1.27+ACU-
4,3,1,1,5,1,1,3,4,10000,309,3.09+ACU-
4,1,1,3,1,1,2,3,4,10000,275,2.75+ACU-
6,1,1,2,5,3,2,3,4,10000,543,5.43+ACU-
5,1,1,2,1,1,1,4,4,10000,269,2.69+ACU-
6,3,1,1,5,3,2,5,4,10000,281,2.81+ACU-
5,1,1,1,1,3,2,2,6,10000,298,2.98+ACU-
6,3,1,3,1,1,1,3,6,10000,18,0.18+ACU-
6,6,1,3,5,3,1,4,6,10000,213,2.13+ACU-
4,6,1,1,5,1,2,4,6,10000,821,8.21+ACU-
5,6,1,2,5,3,1,5,6,10000,297,2.97+ACU-
5,3,1,2,1,1,2,5,6,10000,97,0.97+ACU-
